Id,Score,Probability,Expected_Loss,Actual,Decision,Total_Delinquencies,Delinquency_Segment
137546,704.0581834940307,0.004731861408799887,28.39116845279932,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
49433,550.5333055282697,0.14166666567325592,849.9999940395354,0,Auto-Approve,0.5964889282406552,Low Delinquencies (1-2)
131369,704.0581834940307,0.004731861408799887,28.39116845279932,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
97121,629.454205011187,0.025957973673939705,155.74784204363823,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
12761,629.454205011187,0.025957973673939705,155.74784204363823,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
18677,674.0785712852969,0.009414758533239365,56.48855119943619,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
56260,703.7958895865922,0.00476048793643713,28.56292761862278,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
12808,528.6925803161123,0.21468926966190338,1288.13561797142,1,Manual Review,0.5964889282406552,Low Delinquencies (1-2)
9505,602.9125272500714,0.04689863696694374,281.39182180166245,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
32723,657.1131643043476,0.013870364986360073,83.22218991816044,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
136456,674.0785712852969,0.009414758533239365,56.48855119943619,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
97573,703.7958895865922,0.00476048793643713,28.56292761862278,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
142209,703.7958895865922,0.00476048793643713,28.56292761862278,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
130540,674.0785712852969,0.009414758533239365,56.48855119943619,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
76234,681.7946117220525,0.00788954645395279,47.337278723716736,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
48045,703.7958895865922,0.00476048793643713,28.56292761862278,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
84079,703.7958895865922,0.00476048793643713,28.56292761862278,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
133935,704.0581834940307,0.004731861408799887,28.39116845279932,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
122176,871.1892176816345,0.0,0.0,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
32171,629.454205011187,0.025957973673939705,155.74784204363823,0,Auto-Approve,-0.3818089047458986,Low Delinquencies (1-2)
64002,579.972105874149,0.0771513357758522,462.9080146551132,0,Auto-Approve,1.574786761227209,Low Delinquencies (1-2)
